,utterance,classes,prompt,bigscience/T0pp
245,i tried to pay contactless at the bus today and it didn't work any ideas why?,"['work ideas', 'work ideas']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ideas for a project in science fiction work
246,i've been unable to pay contactless with my card for over a week now is there a way to fix this issue?,"['fix issue', 'fix issue']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fix issue. thanks. i need it now
247,do you know why my contactless won't work?,['work '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work.. i need your advice
248,my contactless payments have not been completed successfully,"['contactless payments', 'completed payments']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",contactless payments completed payments.htm
249,do i need to replace my card if it didn't work when i tried to pay contactless at the shop today?,"['pay card', 'pay today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",replace card pay today..i need to replace my card if it didn't work
250,for some reason my contactless has stopped working i don't know what the problem is what can i do?,['do problem'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",look up a solution on the internet or call an 800 number
251,i couldn't use my contactless this morning it wasn't accepted,"['use ', 'accepted morning']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use accepted morning.? i couldn't use my contactless this morning it wasn'
252,contactless isn't working for me,['working '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working. msnbc
253,why wouldn't the contactless payment work when i tried to pay at the bus today?,"['contactless payment', 'pay today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stop working today contactless payment pay at the bus
254,how do i check my security settings to allow contactless pay?,"['allow pay', 'security settings', 'contactless pay', 'allow pay']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",allow pay security settings.. click and select
255,what can i do if contactless doesn't work?,['work '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work. (2019) The Sun (UK)
256,fix my contactless,"['fix ', 'fix ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fix a broken electronic device. fix an electronic glitch.
257,how can i make my contactless work for the metro?,"['make work', 'contactless work', 'make metro']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make contactless work for metro..make work
258,my contactless is not working,['working contactless'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working contactless.#5259588
259,can you help my fix my contactless?,"['fix ', 'fix ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help fix something thats messed up
260,for some reason my contactless won't work for me,['work contactless'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",refuses to work contactless. for some reason my contactlessness won't work for me
261,i'm unable to use contactless payments for purchases,"['use payments', 'contactless payments', 'use purchases']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use purchases use payments?contactless payments
262,when i tried to pay for my bus ride the contactless payment wouldn't work how can i prevent this in the future?,"['prevent ', 'bus ride', 'contactless payment', 'prevent future']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",contactless payment bus ride prevent prevent future.
263,the nfc payment wouldn't work on the bus today help?,"['nfc payment', 'help today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help today make nfc payment on the bus
264,i wanted to use my card contactless but it doesn't seem to be working what could be the problem?,"['use card', 'working problem']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card working problem? i wanted to use my card contactless
265,how do i make contactless work,"['make work', 'contactless work', 'make work']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make contactless work. thanks. bye
266,what is the charges for new card?,"['new card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","charge, card, chargeessi"
267,the contactless i have won't work,['work '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work. i have a contactless card and...
268,why isn't my contactless not working?,['working '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working.. why isn't my contactless not working.
269,i wanted to use my contactless at the metro today but it didn't accept it!,"['accept ', 'accept today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept today accept.. but it didn't work
270,it didnt work when i tried to pay contactless at the bus today why?,"['pay ', 'pay today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay pay today...................<unk>
271,i am not able to do contactless,['do '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",don't know if it works
272,how do i use contactless payments?,"['use payments', 'contactless payments', 'use payments']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use payments contactless payments?. html
273,help me with my contactless which isn't working,"['help ', 'working ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working help????????????
274,how can i fix a problem where contactless isn't working?,"['fix problem', 'working problem']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",repair problem fix problem working problem on lg
275,how do i use contactless pay?,"['use pay', 'contactless pay', 'use pay']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use contactless pay.com paypal.co
276,how do i enable contactless pay?,"['enable pay', 'contactless pay', 'enable pay']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",enable pay.jpg enabel contactless pay
277,do i need to make a regular payment before a contactless one?,"['make payment', 'contactless one', 'make one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make payment.contactless one make one.
278,how can i find out where my contactless works?,['works '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",works.. - youtube.com
279,should i reinstall the payment app?,"['reinstall app', 'payment app', 'reinstall app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reinstall app payment app..!
280,how much do you charge to accept transfers,"['accept transfers', 'accept transfers']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept transfers. accept deposits. receive transfers from
281,i would like to make a transfer how much does it cost?,"['make transfer', 'cost transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cost transfer make transfer.?.. :-)
282,i need to make a transfer what will the fee be?,"['make transfer', 'make fee']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make payment make transfer fee make purchase..
283,if i make a top-up are there charges applied?,"['make topup', 'applied charges']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",applied charges.? make topup? no
284,can i also transfer with swift?,['transfer '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer. swift? [ citation needed]
285,are swift transfers accepted?,"['swift transfers', 'accepted transfers']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",swift transfers accepted. <unk>ngel os
286,i would like to refill my account using swift,"['using account', 'using account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",swift to refill wallet account.html?false
287,do i have to pay for topping up by transfer?,['topping transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping up transfer?..thanks.
288,are there any sort of fees involved for top of transfers?,['involved transfers'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",involved with transfers.. involved in transfers.
289,is it possible to get a transfer from swift?,"['get transfer', 'get transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get transfer from swift.com.ng ip address
290,do i have to pay any fees in order to receive money?,"['receive money', 'receive money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive money.. a payment made to me
291,how much am i charged to receive money?,"['receive money', 'receive money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive money.charge me for money i receive
292,will you deal with swift transfers?,"['swift transfers', 'deal transfers']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deal swift transfers.. i will give you a deal
293,will there be any charges for money received?,['received money'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",received money? have received a check or money order and been waiting
294,will a transfer incur a fee?,"['incur fee', 'incur fee']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","fee incurring, fee incurred, incur"
295,are there charges for receiving a sepa transfer?,"['receiving transfer', 'sepa transfer', 'receiving transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive transfer sepa transfer receiving transfer in the united states
296,if i transfer money from my bank to top-up my account will i be charged?,"['topup account', 'charged account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged account topup account?.svg
297,will i be charged if someone needs to send me money?,"['send money', 'send money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money to a bank account abroad from your mobile phone
298,what are the fees for top-ups?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","fees, top-up, utterance"
299,will topping up by transfer lead to a charge on my account?,['lead account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge me for topping up by transfer. i will do that.
300,what are the charges for receiving money?,"['receiving money', 'receiving money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receiving money quickly without too many charges - wikipedia
301,what is the fee to receive money?,"['receive money', 'receive money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive money. receive cash. remit money
302,how much am i charged for a sepa transfer?,"['sepa transfer', 'charged transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged transfer sepa transfer? how much
303,how much is the fee for a sepa transfer?,"['sepa transfer', ' transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",sepa transfer transfer fee.html.
304,what'll it charge me for a sepa transfer?,"['charge ', 'sepa transfer', 'charge transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge transfer sepa transfer..thanks
305,is there a charge for topping up by transfer?,['topping transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping transfer?..? :(
306,do you do swift transfers?,"['do transfers', 'swift transfers', 'do transfers']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do swift transfers? transfer money? swift?
307,should i expect to be charged for topping up by transfer?,['topping transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charging a fee for topping up by transfer
308,will i be charged for a sepa transfer?,"['sepa transfer', 'charged transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged transfer sepa transfer?..
309,is there a fee for a transfer? if so how much will it be?,[' transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer fees from bank to other bank account.
310,please tell me about swift transfers at this bank,"['tell ', 'swift transfers', 'tell bank']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell swift transfers at this bank.jpg <unk>
311,is there a fee for transfer top-up?,"['transfer topup', ' topup']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",is there a fee for transfer topup?
312,can you tell me what the transfer policy is?,"['tell ', 'transfer policy', 'tell policy']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",policy tell transfer policy. permalink <unk>
313,is a swift transfer okay?,"['swift transfer', ' transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",swift transfer transfer? swiftly transferring?
314,will i be charged a fee if i receive a sepa transfer,"['receive transfer', 'sepa transfer', 'receive transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive transfer i will be charged a fee
315,when topping up by transfer will i be charged?,['charged transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged transfer?... yes please. Thank you.
316,what us the fee to transfer money from my bank?,"['transfer money', 'transfer bank']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money from my bank to someone else's
317,do i get charged if i am getting money?,"['getting money', 'getting money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",getting money from a customer in uae
318,can you tell me the total cost of a transfer?,"['tell cost', 'total cost', 'tell transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell transfer cost total cost tell me the cost
319,please help me!  i need to cancel a transaction,"['cancel transaction', 'cancel transaction']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cancel transaction please help me! i need to cancel a transaction
320,can you limit my top up?,"['limit top', 'limit top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit top up..i want to limit my top
321,am i free to top-up as much as i want?,['want '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",want. tv - wikipedia
322,is there a top up limit for my account?,"['top limit', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up limit for my account.. i would like to know what the top limit is on the account
323,what is the limit to top up?,['top limit'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit or maximum monetary value in top up
324,how much money can i top up?,"['much money', 'top money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",much money top money?..........................
325,what are the restrictions to top-offs?,[' topoffs'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topoffs for my bike chain..
326,are the top-ups limited?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topups limited.jpg?resize
327,what is the top up limit,"['top limit', 'top limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top limit. wikipedia.org site.
328,i need to find out what is the limit for top-ups,['find topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find topups.com.my.voucher
329,do you have a limit to top ups?,"['have limit', 'top ups', 'have ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have limit top ups.. i will top it up.
330,what is maximum top up?,"['maximum top', ' top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",maximum top up or to top the maximum amount
331,how can i tell what the limit is to top-ups?,['tell topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell topups limit..what's the limit to top-up?
332,is there a limit to top-up amounts?,"['topup amounts', ' amounts']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit to topup amounts.. and how much
333,is there any limit to the amount i can add to a card at a time?,['add time'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",add time. complication. card.
334,i want to know if there is a maximum i can top up,['top maximum'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top maximum i can top up..
335,what is the limit to a top-up?,[' topup'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","topup.com, limit, top-up"
336,tell me if there are any top-up limits?,"['tell ', 'topup limits', 'are limits']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell if there are any top-up limits
337,how can i top-up my limit?,"['topup limit', 'topup limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topup limit.com.au?referrer
338,is there a limit to top-ups?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit to topups on your card due
339,can i top-up as much as i want?,['want '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",want. idiom & nbsp ;
340,can you tell me the limits for top ups?,"['tell limits', 'top ups', 'tell ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top ups. tell limits tell upd.
341,when i top up what are the amoutn limits,"['amoutn limits', 'top limits']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit amoutn when i top up
342,is there a limit on top-ups?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit on topups.png.
343,what is the top-ups limit?,"['topups limit', ' limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit on topups for cellphones.
344,are there limits to top-ups?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit on top-ups of credits in online store
345,is there a maximum amount of top-ups?,"['maximum amount', ' topups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",are there any limits in terms of amount of topups?
346,do you have a top-up limit?,"['have limit', 'topup limit', 'have limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have limit on topup credit limit upto £100
347,what's the top up limit?,"['top limit', 'top limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","limit, top, limit.up.to"
348,what is the limit to top-up?,[' topup'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit the topup of your credit card account
349,how much can i top-up to my card at a time?,['topup time'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topup time.com remit money to me
350,how much can i top up?,['top '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top ipv6 address book entry
351,what is the most i can top up?,['top '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up an account with an amount equal to my limit
352,is there a limit to how high i can top-up?,['topup limit'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit of how high you can top up your account
353,is there an amount limit to my top-up?,"['amount limit', ' topup']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",is there an amount limit to my topup?
354,is there a limit for top-ups?,[' topups'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top-ups in the network of communications services available to a consumer
355,is there a maximum i can top up?,['top maximum'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top maximum? and is there anything else?
356,how can i tell if there is a top-up limit?,"['topup limit', 'topup limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit of topups on my card.
357,do you have any restrictions to my top-up?,"['have restrictions', 'have topup']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",restrictions have topup?.. thanks.
358,as for limits are top ups included?,"['top ups', 'included ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",included tops ups in limits included in
359,which cards and currencies do you support?,['support currencies'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",support currencies.com.au | credit cards
360,where can i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtain card virtual card obtain virtual credit card online
361,how do you get a virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get virtual card or create virtual credit card online
362,where can i find a virtual card?,"['find card', 'virtual card', 'find card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find card virtual card..?.txt
363,is there an option to have a virtual card?,"[' card', 'virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card virtual card.php?option=expand_pos
364,if i don't want a physical card can i get a virtual version?,"['get version', 'virtual version', 'get version']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get version of something for a computer.
365,i requested a virtual card but it is not showing up why?,"['requested card', 'virtual card', 'showing card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",requested card showing card virtual card requested? card
366,can you tell me how to order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card order virtual card how to make a prepaid card
367,where is the virtual card?,"['virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card virtual card.. <unk>.
368,what is the virtual card,"['virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card.com.au/store/
369,how do i get a virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card get card virtual card buy card online free
370,where do i order a virtual card from?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card order card online virtual order virtual gift card
371,why did i not get a virtual card yet?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card or credit card virtual card?.
372,how can i order virtual cards?,"['order cards', 'virtual cards', 'order cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",order cards virtual cards buy cards online now free
373,can you tell me where i can order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card order card...com
374,is it possible for me to get a virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card. virtual card make card with cardmaking
375,is this where i order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card order card.com.au.
376,what are the steps to getting a virtual card?,"['getting card', 'virtual card', 'getting card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",getting card virtual card paying with card online banking
377,help me obtain a virtual card,"['obtain card', 'virtual card', 'obtain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtain virtual card help me obtain a virtual credit card
378,where is the virtual card located?,"['virtual card', 'located card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",located card virtual card..thanks for
379,where can i order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",order virtual card order card online via credit card via phone
380,where do i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtain virtual card.. thanks..
381,i want a virtual card!,"['want card', 'virtual card', 'want card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card want card.. thank you <unk>
382,i want one of those virtual cards!,"['want ', 'virtual cards', 'want cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual cards want..several
383,are virtual cards available to get?,"['virtual cards', 'get cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get cards virtual cards.. <unk>file_gif>
384,can you help me sign up for a virtual card?,"['virtual card', 'sign card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",sign up for a virtual card..
385,can i get a copy of the card by email?,"['get copy', 'get email']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get copy email? i have no idea.
386,where do i find the virtual card?,"['find card', 'virtual card', 'find card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find virtual card from email in gmail account
387,why do i not have a virtual card,"['have card', 'virtual card', 'have card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have card virtual card. tnx
388,how do i order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",purchase card online now virtual card order card now
389,i thought i was going to get a virtual card but i haven't received it yet how can we resolve this?,"['resolve card', 'virtual card', 'resolve card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",resolve card..i thought i was going to get a virtual card but...
390,please help me get a virtual card,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",to get a virtual card for someone on twitchy
391,can i order a virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ask for a card that can be ordered via the internet
392,where can i go to get a virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",buy card online without credit check prepaid cards
393,where are the virtual cards located?,"['virtual cards', 'located cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",located cards virtual cards nfl jerseys
394,i would like a virtual card- where can i purchase one?,"['purchase one', 'virtual card', 'purchase one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",purchase one virtual card..for my friend
395,when should i receive my virtual card?,"['receive card', 'virtual card', 'receive card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive card virtual card use card at shopee
396,i need to reorder my virtual card!,"['reorder card', 'virtual card', 'reorder card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reorder virtual card.mobi
397,where can i get a virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card get card?.. i want to buy
398,is there a way to obtain a virtual card?,"['obtain card', 'virtual card', 'obtain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtain card virtual card obtaining card obtain virtual
399,can i have one of the virtual cards?,"['have ', 'virtual cards', 'have cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have virtual cards have cards?.png
400,will my card be accepted all over the world?,['accepted world'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepted world.png accepted all over the world
401,who accepts this card?,"['accepts card', 'accepts card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepts card.. txt
402,can i use my card for payment all over the world?,"['use card', 'use world']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card for payment all over the world.
403,it will be fine to use at any establishment that accepts mastercard,"['accepts mastercard', 'accepts mastercard']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepts mastercard. is fine to use
404,where can the card be used?,['used card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used card.jpg used credit card at shop.
405,can my card be used everywhere?,['used card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used card?.. idiom & phrasal verb
406,are there any limits on where i can use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit on where i can use card?
407,what stores can i sue my card?,"['sue card', 'sue card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",refuse to pay back credit card debts.
408,can i use my card anywhere i want?,"['use card', 'want card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",want card. use card anywhere i want.
409,is there anywhere my card will not be accepted?,['accepted card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rejected card.. accepted card... accepted credit card
410,what are the rules to where i can use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card. (2006 film) - wikipedia
411,do you know where my card will be accepted?,['accepted card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepted card.? | tv guide
412,what places can i use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",place card and use it at a store
413,is my card accepted everywhere?,['accepted card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepted card everywhere.pdf.jpg?id
414,what places will accept my card for payment?,"['accept card', 'accept payment']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept payment accept card.html#accept-card
415,does this card work everywhere?,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card.jpg sex cards in new york
416,what businesses accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",business accept card id number. cvv code
417,where can i use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card in store only. idk
418,which outlets accept my card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card.. ctrl + f
419,i am traveling to germany will i be able to use my card there?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card there? use my card? do you need a card to use in germany?
420,what stores will take my credit card as payment?,"['take card', 'credit card', 'take payment']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take payment credit card take card...
421,is there any place i cannot use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card anywhere with no problems. and it's prepaid
422,will i be able to use my card anywhere?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card anywhere. use of card everywhere.
423,is my card usable anywhere?,[' card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card is usable anywhere...
424,is it acceptable to use my card anywhere?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","use card anywhere, get card, purchase card"
425,can i use my card everywhere?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use the card everywhere.. i want to use my card and eat all around me
426,where is my card accepted?,['accepted card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accepted card anywhere in the world from your phone
427,where can i pay with my debit or credit card?,"['credit card', 'pay card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay card debit card credit card..thanks.
428,where should my card work?,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card.php?id=221
429,areas card is accpeted,"['areas card', 'accpeted card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",areas card accpeted card..
430,places i can use the card,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card on the way home from work.
