,utterance,classes,snli
408,can i use my card anywhere i want?,"['use card', 'want card']",use card
409,is there anywhere my card will not be accepted?,['accepted card'],Unknown
410,what are the rules to where i can use my card?,"['use card', 'use card']",use card
411,do you know where my card will be accepted?,['accepted card'],Unknown
412,what places can i use my card?,"['use card', 'use card']",Unknown
413,is my card accepted everywhere?,['accepted card'],accepted card
414,what places will accept my card for payment?,"['accept card', 'accept payment']",accept card
415,does this card work everywhere?,['work card'],work card
416,what businesses accept this card?,"['accept card', 'accept card']",accept card
417,where can i use my card?,"['use card', 'use card']",use card
418,which outlets accept my card?,"['accept card', 'accept card']",accept card
419,i am traveling to germany will i be able to use my card there?,"['use card', 'use card']",Unknown
420,what stores will take my credit card as payment?,"['take card', 'credit card', 'take payment']",credit card
421,is there any place i cannot use my card?,"['use card', 'use card']",Unknown
422,will i be able to use my card anywhere?,"['use card', 'use card']",use card
423,is my card usable anywhere?,[' card'], card
424,is it acceptable to use my card anywhere?,"['use card', 'use card']",use card
425,can i use my card everywhere?,"['use card', 'use card']",Unknown
426,where is my card accepted?,['accepted card'],Unknown
427,where can i pay with my debit or credit card?,"['credit card', 'pay card']",pay card
428,where should my card work?,['work card'],work card
429,areas card is accpeted,"['areas card', 'accpeted card']",areas card
430,places i can use the card,"['use card', 'use card']",Unknown
431,can i make online purchases with my card?,"['make purchases', 'online purchases', 'make card']",online purchases
432,does every place of business accept this card?,"['accept card', 'accept card']",accept card
433,what places will accept my card?,"['accept card', 'accept card']",Unknown
434,can i use my card anywere?,"['use card', 'use card']",use card
435,will any business take this card?,"['take card', 'take card']",Unknown
436,will filling stations accept my card?,"['accept card', 'filling stations', 'accept card']",filling stations
437,do i have to verify my identity?,"['verify identity', 'verify identity']",Unknown
438,why do you need to know so much about me,"['know ', 'know ']",know 
439,why did i need to verfiy my identity?,"['verfiy identity', 'verfiy identity']",verfiy identity
440,i cannot verify my identity,"['verify identity', 'verify identity']",Unknown
441,i do not have what is required to prove my identity,"['prove identity', 'prove identity']",Unknown
442,why doesn't the app believe i am who i say i am?,['say app'],say app
443,i am having trouble verifying my identity,"['verifying identity', 'verifying identity']",Unknown
444,what do i do if my verification failed,['failed verification'],failed verification
445,it is impossible to verify my identity,"['verify identity', 'verify identity']",verify identity
446,the app doesn't know it's me,['know app'],Unknown
447,i'm having trouble verifying my id,"['verifying d', 'verifying d']",Unknown
448,app does not recognize me,"['recognize ', 'recognize app']",recognize app
449,help my verify my id,"['verify d', 'verify d']",verify d
450,the app failed to verify my identity,"['verify identity', 'verify identity']",verify identity
451,i can't verify my id,"['verify d', 'verify d']",verify d
452,i can't prove my identity,"['prove identity', 'prove identity']",prove identity
453,i am not being recognized by the app,['recognized app'],Unknown
454,why isn't my id being verified?,['verified d'],Unknown
455,the app will not let me into my account,"['let ', 'let account']",let account
456,i am having trouble proving my identity,"['proving identity', 'proving identity']",proving identity
457,i cannot prove my own identity,"['prove identity', 'own identity', 'prove identity']",Unknown
458,my id won't be verified!,['verified d'],Unknown
459,i can not get the app to know it is me,['know app'],Unknown
460,i can't verify my identity,"['verify identity', 'verify identity']",verify identity
461,the app doesn't recognize me,"['recognize ', 'recognize app']",recognize app
462,i am having difficulties to verify my identity,"['verify identity', 'verify identity']",Unknown
463,the app doesn't believe that i am me,['believe app'],believe app
464,what's with not verifying my id?,"['verifying d', 'verifying d']",Unknown
465,what do i need to verify my id?,"['verify d', 'verify d']",verify d
466,i tried verifying my id but it won't let me,"['let d', 'let d']",Unknown
467,how do i show this stupid system that this is really my identity?,"['show system', 'stupid system', 'show identity']",Unknown
468,i am experiencing difficulty providing my identity,"['providing identity', 'providing identity']",Unknown
469,i a having trouble proving my identity,"['proving identity', 'proving identity']",proving identity
470,how long will it take for my id to verify?,['verify d'],verify d
471,why am i not able to verify my id?,"['verify d', 'verify d']",Unknown
472,it doesn't let me verify my identity,"['verify identity', 'verify identity']",verify identity
473,app doesnt think its me,['its app'],its app
474,why am i having trouble verifying my id?,"['verifying d', 'verifying d']",verifying d
475,i am having issues with identity verification,"['having issues', 'identity verification', 'having verification']",having issues
476,the app won't let me log in as myself,['log app'],log app
477,why can't i verify my identity?,"['verify identity', 'verify identity']",verify identity
478,why can't i verify my id?,"['verify d', 'verify d']",verify d
479,for some reason i am having a problem with verifying my identity,"['verifying identity', 'verifying identity']",verifying identity
480,what do i do with my card pin?,"['card pin', 'do pin']",card pin
481,is the pin delivered separately?,['delivered pin'],delivered pin
482,i do not have my pin,"['have pin', 'have pin']",have pin
483,are pin separately?,['pin '],Unknown
484,i cannot seem to find my pin where is it?,"['find pin', 'find pin']",Unknown
485,how do i set-up my pin for the new card?,"['setup pin', 'new card', 'setup card']",new card
486,how do i find my card pin?,"['find pin', 'card pin', 'find pin']",Unknown
487,is my card pin saved in the app,"['card pin', 'saved app']",card pin
488,i don't know where to look to find my pin,"['find pin', 'find pin']",find pin
489,where in the app can i find out about my new pin,"['new pin', 'find pin']",new pin
490,where in the app can i find my pin?,"['find pin', 'find pin']",find pin
491,i just got my new card but am not sure how to check its pin,"['check pin', 'new card', 'check pin']",new card
492,do i need a pin,"['need pin', 'need pin']",need pin
493,if i need a pin for my card where is it located?,"['need pin', 'located card']",need pin
494,what is my card pin,"['card pin', ' pin']",card pin
495,and what about the card's pin?,[' pin'], pin
496,about this card pin?,"['card pin', ' pin']",card pin
497,i received my card but not my pin,"['received card', 'received pin']",received card
498,why can't i see my pin?,"['see pin', 'see pin']",Unknown
499,what is the process for setting up a pin,"['setting pin', 'setting pin']",setting pin
500,does my pin come with my card?,['come card'],come card
501,where can i find the card pin?,"['find pin', 'card pin', 'find pin']",Unknown
502,why isn't my pin available yet?,[' pin'], pin
503,is my pin located on my account somewhere?,['located account'],located account
504,please help in finding my card pin thank you!,"['thank pin', 'card pin', 'thank pin']",card pin
505,where is my pin number located?,"['pin number', 'located number']",located number
506,i still don't have my pin,"['have pin', 'have pin']",have pin
507,so what about the card pin?,"['card pin', ' pin']",card pin
508,i cannot locate the card pin,"['locate pin', 'card pin', 'locate pin']",Unknown
509,i need my pin,"['need pin', 'need pin']",need pin
510,where can i find my pin?,"['find pin', 'find pin']",find pin
511,when do i receive my pin,"['receive pin', 'receive pin']",receive pin
512,help me find my card pin!,"['find pin', 'card pin', 'find pin']",Unknown
513,is pin delivered separately?,['delivered pin'],Unknown
514,i can not find my card pin,"['find pin', 'card pin', 'find pin']",Unknown
515,what do i need to do for a pin?,['do pin'],do pin
516,why can't i find my pin?,"['find pin', 'find pin']",find pin
517,can you let me know if visa is among the card scheme assignments?,"['scheme assignments', 'know assignments']",scheme assignments
518,do you use mastercard or visa?,"['use mastercard', 'use visa']",use mastercard
519,is it possible to get a visa here?,"['get visa', 'get visa']",get visa
520,how can i top up my account with a card?,"['top account', 'top card']",top account
521,where is my money i was using my card and it disappeared,"['using card', 'disappeared card']",using card
522,how can i top up by card?,['top card'],top card
523,what is the process for using my credit card to transfer money?,"['transfer money', 'credit card', 'transfer money']",Unknown
524,how do i top up my card using your app? i'm new to this,"['using app', 'using app']",using app
525,can friends add to my account,['add account'],add account
526,can i top up using my car?,"['using car', 'using car']",Unknown
527,why can't i see my topup in my wallet anymore?,"['see topup', 'see wallet']",see topup
528,use credit card to transfer money,"['transfer money', 'credit card', 'transfer money']",Unknown
529,how do my friends top up my account,"['top account', 'top account']",top account
530,i followed the instructions to transfer money using my card but then the money disappeared and i don't know what happened,"['using card', 'happened money']",using card
531,where's the money that got charged to my card? it's not showing up in my account balance,"['account balance', 'showing balance']",account balance
532,how can i top up?,['top '],Unknown
533,i am missing some funds from my account - i tried to transfer them using my credit card number and it disappeared,"['using number', 'card number', 'disappeared number']",Unknown
534,i have friends that would like to top-up my account is that possible?,"['topup account', 'topup account']",topup account
535,how do i transfer money using a credit card?,"['using card', 'credit card', 'using card']",Unknown
536,can i give my friends access to my account so they can top it up for me?,"['top access', 'top account']",top account
537,i did a top-up but i'm not seeing it in my wallet yet,"['seeing topup', 'seeing wallet']",seeing wallet
538,i know i entered the right info but my top up isn't in my balance,"['entered info', 'right info', 'entered balance']",entered info
539,will my friend be able to top off my account?,"['top account', 'top account']",top account
540,is there a way to transfer funds directly from my card?,"['transfer funds', 'transfer card']",transfer funds
541,why isn't my top up showing on my wallet?,['showing wallet'],showing wallet
542,i tried to top up using my card but now the money just disappeared!,"['using card', 'disappeared money']",disappeared money
543,help me transfer money to my credit card,"['transfer money', 'credit card', 'transfer card']",credit card
544,i tried to use my card to top up but all of the money has disappeared,"['use card', 'disappeared money']",disappeared money
545,is it possible to use my credit card to transfer money?,"['transfer money', 'credit card', 'transfer money']",Unknown
546,how can someone add money to my account?,"['add money', 'add account']",add money
547,cannot access my top up,"['access top', 'access top']",access top
548,are my friends able to add funds to my account?,"['add funds', 'add account']",add funds
549,can i transfer money to my credit card?,"['transfer money', 'credit card', 'transfer card']",Unknown
550,who else can top up my account,"['top account', 'top account']",top account
551,why is my money gone right when i attempted to top up,['top money'],top money
552,how do i transfer money using my credit card?,"['using card', 'credit card', 'using card']",Unknown
553,my friends want to top up my account,"['top account', 'top account']",top account
554,who can top up my accounts?,"['top accounts', 'top accounts']",Unknown
555,show me how to top up with my card,"['show ', 'top card']",show 
556,i topped up my card but the money disappeared,"['topped card', 'disappeared money']",disappeared money
557,what are the limits to using disposable virtual cards?,"['using cards', 'virtual cards', 'using cards']",Unknown
558,how many transactions can i do with one disposable card?,"['disposable card', 'do card']",disposable card
559,how many times can i use the disposable virtual card i have?,"['use card', 'virtual card', 'have card']",virtual card
560,i think someone is using my card to make transactions i don't remember,"['make transactions', 'remember transactions']",make transactions
561,someone is using my account,"['using account', 'using account']",using account
562,someone i don't know has used my card without permission,"['used card', 'used permission']",used card
563,my card was used without my permission,['used permission'],Unknown
564,can i freeze my card right now?,"['freeze card', 'freeze card']",freeze card
565,freeze my account it's been hacked,"['freeze account', 'hacked account']",freeze account
566,there are transactions i didn't make someone else must have used my card,"['used card', 'used card']",used card
567,can you freeze my card because someone used it while i was out of town i did not make these purchases,"['make purchases', 'make purchases']",Unknown
568,someone is using my account to do online shopping! please freeze it asap,"['freeze shopping', 'online shopping', 'freeze shopping']",online shopping
569,someone else may be using my card  there are transactions i don't recognize,"['using card', 'recognize transactions']",using card
570,what do i do to stop unauthorized transactions on my card? i was never in the place from which the transactions on my bill were made and i never made them please help!,"['made transactions', 'unauthorized transactions', 'help bill']",unauthorized transactions
571,what do i do if i think my card was improperly used?,['used card'],used card
572,how can i stop fraud on my account right now?,"['stop fraud', 'stop account']",stop fraud
573,i think my identity has been stolen can you check on unauthorized charges?,"['unauthorized charges', 'check charges']",check charges
574,i think someone else is using my card  there are transactions i didn't make,"['using card', 'make transactions']",using card
575,i don't recognize some of the transactions on my card i think someone must have gotten my card info and used it,"['used info', 'card info', 'used info']",Unknown
576,can i use app to freeze account and dispute fraud?,"['dispute fraud', 'dispute fraud']",dispute fraud
577,my card is being used online to make a bunch of purchases! someone else is using it fraudulently can you help me freeze it?,"['freeze bunch', 'freeze purchases']",freeze purchases
578,someone has my card number freeze my account,"['freeze account', 'card number', 'freeze account']",Unknown
579,i see random purchases to my account was it hacked?,"['see purchases', 'random purchases', 'hacked account']",random purchases
580,it seems someone used my card! there are a few transactions from a small town in the middle of nowhere that i definitely have not made! please prevent them from using it immediately!,"['using card', 'small town', 'using middle']",Unknown
581,how do i freeze my card using the app?,"['using app', 'using app']",Unknown
582,my card has been compromised,['compromised card'],compromised card
583,what should i do if i think that someone else may be using my card,"['using card', 'using card']",using card
584,the transactions showing up are strange i think my card was used without me knowing,['knowing card'],Unknown
585,how do i freeze my account?,"['freeze account', 'freeze account']",Unknown
586,i'm not certain but someone may be using my card,"['using card', 'using card']",Unknown
587,how do i freeze my card? i think someone is using it to make a bunch of online transactions,"['make bunch', 'online transactions', 'make transactions']",online transactions
588,i think someone got my card details and used it because there are transactions i don't recognize what do i do now?,"['used details', 'card details', 'do transactions']",card details
589,someone else used my card!,"['used card', 'used card']",used card
590,i believe someone is using my card without my agreement!,"['using card', 'using agreement']",using card
591,if i feel someone has my card information can i get a new card?,"['get card', 'card information', 'new card', 'get card']",card information
592,there are a few transaction that i don't recognize i think someone managed to get my card details and use it,"['use details', 'card details', 'use details']",Unknown
593,i think someone has access to my card numbers that shouldn't,"['has access', 'card numbers', 'has numbers']",card numbers
594,i think my child used my card while i wasn't home,"['used card', 'used card']",used card
595,what do i do if i think someone managed to get my card information?,"['get information', 'card information', 'get information']",card information
596,i think someone copied the numbers on my card and is using them,"['using numbers', 'using card']",using numbers
597,what should i do if i think someone is using my card,"['using card', 'using card']",using card
598,can i use app to freeze my card and dispute fraud?,"['dispute fraud', 'dispute fraud']",dispute fraud
599,someone else is using my card freeze it,"['freeze card', 'freeze card']",Unknown
600,do all atms take this card?,"['take card', 'take card']",Unknown
601,which atms accept this card?,"['accept card', 'accept card']",accept card
602,where is the closest mastercard atm?,"['closest mastercard', ' mastercard']", mastercard
603,is there a list of atm machines?,"['atm machines', ' machines']", machines
604,are there any specific atms that this card can be used at?,"['specific atms', 'used card']",used card
605,how do i know which atms will accept this card?,"['accept card', 'accept card']",accept card
606,which atm's accept my card?,"['accept card', 'accept card']",accept card
607,is there any nearby atm's?,['nearby atm'],Unknown
608,where are the locations of atms that accept this card?,"['accept card', 'accept card']",accept card
609,which atms accept this placard ?,"['accept placard', 'accept placard']",accept placard
610,help me locate the nearest atm,"['locate atm', 'nearest atm', 'locate atm']",Unknown
611,what atms is the card okay to use at?,['use card'],use card
612,how can i find the nearest atm?,"['find atm', 'nearest atm', 'find atm']",Unknown
613,what kind of atm's can i use?,['use atm'],use atm
614,how can i withdraw money?,"['withdraw money', 'withdraw money']",withdraw money
615,how many miles away is the atm?,"['many miles', ' miles']",many miles
616,from where can i withdraw?,['withdraw '],withdraw 
617,which atm's will accept my card?,"['accept card', 'accept card']",accept card
618,at what atms am i able to use the card?,"['use card', 'use card']",use card
619,can i use my card at any atms?,"['use card', 'use atms']",use card
620,can i get cash with this card anywhere?,"['get cash', 'get card']",get cash
621,which atms accept this card?,"['accept card', 'accept card']",accept card
622,can someone please assist me with finding my nearest atm?,"['finding ', 'nearest atm', 'finding ']",Unknown
623,are there any atm machines near me?,"['atm machines', ' machines']", machines
624,where is the nearest bank machine?,"['bank machine', 'nearest machine', ' machine']",bank machine
625,what type of atms accept this card?,"['accept card', 'accept card']",accept card
626,where can i use this card at an atm?,"['use card', 'use atm']",use card
627,if i have this card which atms can i go to?,"['have card', 'go atms']",have card
628,what atms can i withdraw money from?,"['withdraw money', 'withdraw money']",Unknown
629,i want to withdraw money where can i go?,"['withdraw money', 'go money']",withdraw money
630,where can i withdrawal my money?,"['withdrawal money', 'withdrawal money']",Unknown
631,what are the atms that will accept this card?,"['accept card', 'accept card']",accept card
632,what atms will accept this type of card?,"['accept type', 'accept card']",accept card
633,where can i find an atm to use this card?,"['use card', 'use card']",use card
634,at which atms can i use this card?,"['use card', 'use card']",Unknown
635,are there certain atms that i can use this card at?,"['use card', 'certain atms', 'use card']",Unknown
636,someone has taken my money and i don't know who,"['taken money', 'know money']",taken money
637,i was charged on my account that shouldn't be there,['charged account'],charged account
638,there's a direct debit i wish to dispute,"['direct debit', 'dispute debit']",direct debit
639,why was my account deducted from a seller when i didn't approve of it?,['approve seller'],Unknown
640,what do i do if i forget my passcode?  because i did,"['forget passcode', 'did passcode']",forget passcode
641,i can't find my password,"['find password', 'find password']",find password
642,how do i retrieve my passcode?,"['retrieve passcode', 'retrieve passcode']",retrieve passcode
643,my passcode doesn't seem to be working,['working passcode'],Unknown
644,i lost my password,"['lost password', 'lost password']",Unknown
645,my password isn't being accepted and i need to reset it,"['reset ', 'reset password']",reset password
646,something is wrong with my password,[' password'], password
647,something is wrong with my passcode,[' passcode'], passcode
648,how do i reset a forgotten passcode please?,"['reset passcode', 'forgotten passcode', 'forgotten passcode']",Unknown
649,i can't recall my passcode and need to reset it,"['reset passcode', 'reset passcode']",reset passcode
650,can i be given a new passcode?,"['given passcode', 'new passcode', 'given passcode']",Unknown
651,i do not know my passcode,"['know passcode', 'know passcode']",know passcode
652,i don't remember my code to get into the app,"['remember code', 'get app']",remember code
653,i no longer have my passcode,"['have passcode', 'have passcode']",have passcode
654,why won't my passcode work?,['work passcode'],Unknown
655,can i resent my passcode?,"['resent passcode', 'resent passcode']",Unknown
656,i need to reset my passcode how do i do it?,"['do passcode', 'do passcode']",do passcode
657,show me please how to reset my passcode,"['reset passcode', 'reset passcode']",Unknown
658,help me reset the passcode,"['reset passcode', 'reset passcode']",Unknown
659,i have forgotten my passcode to access my app,"['access app', 'access app']",access app
660,what should i do if the passcode doesn't work for me?,['work passcode'],Unknown
661,i do not remember the code what should i do?,"['remember code', 'do code']",remember code
662,where can i reset the passcode?,"['reset passcode', 'reset passcode']",Unknown
663,i need help resetting my passcode to access my app,"['access app', 'access app']",access app
664,what steps do i take to receive another passcode?,"['receive passcode', 'receive passcode']",receive passcode
665,i forgot my password,"['forgot password', 'forgot password']",forgot password
666,i forgot my code to get into the app,"['forgot code', 'get app']",forgot code
667,i have forgotten my password,"['forgotten password', 'forgotten password']",Unknown
668,i forgot the code to access the app,"['access app', 'access app']",Unknown
669,is there a way to reset my passcode?,"['reset passcode', 'reset passcode']",reset passcode
670,can you help me reset my password?,"['reset password', 'reset password']",Unknown
671,can i reset my password?  i don't know what it is,"['reset password', 'know password']",reset password
672,how do i reset the passcode?,"['reset passcode', 'reset passcode']",reset passcode
673,what should i do if i forgot my passcode?,"['forgot passcode', 'forgot passcode']",forgot passcode
674,my passcode doesn't work,['work passcode'],Unknown
675,tell me how to reset the passcode,"['reset passcode', 'reset passcode']",reset passcode
676,i am still waiting for a money transfer to show,"['money transfer', 'show transfer']",money transfer
677,my transfer hasn't gone through yet,['gone transfer'],Unknown
678,i am confused as to why my transfer could still be pending,['pending transfer'],pending transfer
679,how long does it take for a money transfer to show?,"['money transfer', 'show transfer']",money transfer
680,can you remove my account please?,"['remove account', 'remove account']",Unknown
681,i want to close an account but im not sure about setting up a new one in the future what do you recommend,"['setting one', 'new one', 'recommend future']",recommend future
682,my account needs to be deleted,['deleted account'],deleted account
683,i would like to delete my account please,"['delete account', 'delete account']",Unknown
684,what steps do i need to take to close my account?,"['close account', 'close account']",close account
685,i'm tired of all the problems i've had i want to quit this account!,"['quit account', 'quit account']",quit account
686,please delete my account right now!,"['delete account', 'delete account']",delete account
687,i want to close my account,"['close account', 'close account']",close account
688,unhappy with you how to delete account,"['delete account', 'delete account']",Unknown
689,i would like to delete my account,"['delete account', 'delete account']",Unknown
690,i am highly unsatisfied with this company and want to delete my account!,"['delete account', 'delete account']",delete account
691,i don't like your company delete my account,"['delete account', 'delete account']",delete account
692,i would like to close my account,"['close account', 'close account']",Unknown
693,this company is terrible! can you delete my account?,"['delete account', 'delete account']",Unknown
694,this company is bad please delete my account,"['delete account', 'delete account']",delete account
695,please delete my account your services are not up to par,"['delete account', 'delete par']",delete account
696,i need your help in deleting my account,"['deleting account', 'deleting account']",deleting account
697,the service of this company sucks i need to terminate my account,"['terminate account', 'terminate account']",terminate account
698,delete this account!,"['delete account', 'delete account']",delete account
699,how do i get rid of my account asap?,['rid account'],rid account
700,this company isn't good i would like to delete my account,"['delete account', 'delete account']",delete account
701,can you delete my account please?,"['delete account', 'delete account']",delete account
702,i am not satisfied with your company and would like to delete my accounts!,"['delete accounts', 'delete accounts']",delete accounts
703,please delete my account i am not happy with the service from your company,"['delete account', 'delete company']",delete account
704,please terminate my account,"['terminate account', 'terminate account']",Unknown
705,i am sick of this damn company and want to close out my account,"['close account', 'damn company', 'close account']",Unknown
706,please close my account i am unsatisfied with your service,"['close account', 'close service']",close account
707,please delete my account,"['delete account', 'delete account']",delete account
708,your service is terrible  delete my account,"['delete account', 'delete account']",delete account
709,i want my account deleted!,['deleted account'],deleted account
710,i am extremely unhappy with this app and want to get rid of my account?,['rid account'],rid account
711,how do i delete my account?,"['delete account', 'delete account']",Unknown
712,this company sucks! can you delete my account?,"['delete account', 'delete account']",delete account
713,i wish to close my account i do not like the service you provide,"['like service', 'provide service']",provide service
714,can you help me get rid of my account?,"['help ', 'rid account']",rid account
715,i don't find your services useful anymore how do i delete my account?,"['delete account', 'delete account']",delete account
716,please delete my account this company is not working for me!,"['delete account', 'working company']",delete account
717,i want to delete my account i'm unhappy with the service you're providing,"['delete account', 'providing service']",delete account
718,can you tell me how to close my account?,"['close account', 'close account']",Unknown
719,this company sucks! can you terminate my account?,"['terminate account', 'terminate account']",Unknown
720,"what do i do if an atm ""stole"" my card?","['stole"" card', 'stole"" card']","stole"" card"
721,how do i retrieve my card from the machine?,"['retrieve card', 'retrieve machine']",retrieve card
722,i was retrieving money and my card wouldn't remove,"['retrieving money', 'remove card']",retrieving money
723,what do i do since the machine swallowed my card i need one,"['need one', 'need one']",need one
724,how do i get my card back after the atm has pulled it in?,"['pulled card', 'pulled atm']",pulled atm
725,atm took my card,"['took card', 'took card']",Unknown
726,is there a way i can get my atm card back from the machine?,"['get card', 'atm card', 'get machine']",atm card
727,i think the atm ate my card,"['ate card', 'ate card']",ate card
728,the atm didn't give me the card back!,"['give card', 'give card']",Unknown
729,how can i get my card out of the damn atm?,"['get card', 'damn atm', 'get atm']",get card
730,the atm won't give my card back!,"['give card', 'give card']",Unknown
731,how can i get my card back out?,"['get card', 'get card']",Unknown
732,the atm machine stole my card,"['stole card', 'atm machine', 'stole card']",Unknown
733,the atm at metro bank on high st kensington swallowed my card how do i get it back?,"['get card', 'st kensington', 'high kensington', 'get card']",Unknown
734,my atm got stuck and i'm not sure what to do,['do atm'],Unknown
735,the atm ate my card,"['ate card', 'ate card']",ate card
736,the atm won't give me my card back,"['give card', 'give card']",give card
737,my card was confiscated by an atm how do i get my card back?,"['get card', 'get card']",Unknown
738,what do i do if the atm ate my card?,"['ate card', 'ate card']",Unknown
739,atm still has my card,"['has card', 'has card']",Unknown
740,what do i do if an atm ate my card?,"['ate card', 'ate card']",ate card
741,what happens if the atm doesn't give me back my card?,"['give card', 'give card']",Unknown
742,i can't pull my card out of the atm help me,"['help card', 'help atm']",help atm
743,i have a problem!  the atm stole my card!,"['stole card', 'stole card']",stole card
744,why would an atm swallow my card?,"['swallow card', 'swallow card']",swallow card
745,my card was taken by the atm,['taken card'],taken card
746,help!  the atm won't give me my card back,"['give card', 'give card']",give card
747,the stupid machine just swallowed my card!! i need a new one asap,"['need one', 'new one', 'need one']",Unknown
748,how do i retrieve a trapped card from a atm?,"['retrieve card', 'trapped card', 'trapped atm']",Unknown
749,my card is stuck in the atm what can i do?,['do atm'],do atm
750,i was getting cash and can't get my card back,"['get card', 'get card']",get card
751,if my card is trapped in the atm what do i do?,['do atm'],do atm
752,my card has been swallowed by an atm,['swallowed atm'],swallowed atm
753,i was taking out funds and was unable to regain my card,"['regain card', 'regain card']",regain card
754,what should i do with my atm that got stuck?,['stuck atm'],stuck atm
755,the atm at metro bank on high st kensington didn't return my card what should i do now that the bank is closed?,"['return card', 'st kensington', 'high kensington', 'closed bank']",Unknown
756,there is more than one of the same transaction on my account,"['same transaction', 'is account']",is account
757,i have a duplicate payment showing,"['have ', 'payment showing', 'duplicate showing', 'showing payment']",Unknown
758,i made a payment that got charged twice instead of once,"['made payment', 'charged payment']",made payment
759,what are my remedies if i think i was charged twice for the same expense?,"['same expense', 'charged expense']",charged expense
760,can i verify the source of my funds?,"['verify source', 'verify funds']",verify funds
761,i want information about the source of funds,"['want information', 'want funds']",want information
762,where are my funds being sourced from?,['sourced funds'],sourced funds
763,i would like to verify the source of my money,"['verify source', 'verify money']",verify money
764,where to funds come from,['come funds'],come funds
765,what is the source of my funds,[' funds'], funds
766,i need to verify my source of funds,"['verify source', 'verify funds']",verify funds
767,i would like to see the source of my money,"['see source', 'see money']",see money
768,why do you need all this information about my source of funds?,"['need information', 'need funds']",need information
769,how can i check the source of funds?,"['check source', 'check funds']",check funds
770,how can i tell where my funds came from?,['came funds'],came funds
771,what is the source of my available funds?,"['available funds', ' funds']",available funds
772,can i find the origination of my funds?,"['find origination', 'find funds']",find funds
773,my source of funds need verified,['verified funds'],Unknown
774,what information do you need to verify my source of funds?,"['verify source', 'verify funds']",verify funds
775,i need the source of my funds verified how do i do this?,"['do ', 'do funds']",do funds
776,i need my funds verified,['verified funds'],verified funds
777,help me check where the funds came from,['came funds'],came funds
778,i want to know where the funds come from,['come funds'],come funds
779,what is the source of my money?,[' money'], money
780,where can i find the source of my available money?,"['find source', 'available money', 'find money']",available money
781,how can i lookup where funds came from?,['came funds'],came funds
782,can i see that history on my funds and where they came from?,"['see history', 'came funds']",see history
783,i have to verify the source of my funds,"['verify source', 'verify funds']",verify funds
784,how can i view the source of my available funds?,"['view source', 'available funds', 'view funds']",Unknown
785,why does my money come from?,['come money'],come money
786,i need to validate the source of my funds,"['validate source', 'validate funds']",validate funds
787,where are my funds coming from? i need to know,['know funds'],know funds
788,where has my available money come from?,"['available money', 'come money']",available money
789,why do you need to know where my money is coming from?,['coming money'],coming money
790,how can i see where my money comes from?,['comes money'],Unknown
791,how can i check the source for my funds?,"['check source', 'check funds']",check funds
792,where can i see the source of my money?,"['see source', 'see money']",see source
793,what is source of my funds need to verify,['verify funds'],verify funds
794,where do my funds come from?,['come funds'],come funds
795,how can i check the source of my fund?,"['check source', 'check fund']",check source
796,i was charged for something i didn't expect,['expect '],Unknown
797,i purchased some makeup through a site in china and i was under the impression that when i make transfers there is no fee  why am i seeing this fee now?  i am not happy about this at all,"['seeing fee', 'seeing fee']",seeing fee
798,i got charged and extra fee when i transferred money so why was i charged?,"['transferred money', 'extra fee', 'charged money']",Unknown
799,can you explain the transfer fee to me?,"['explain fee', 'transfer fee', 'explain fee']",Unknown
800,will salary be received through this?,['received salary'],Unknown
801,how can i get paid in a different currency?,"['different currency', 'paid currency']",different currency
802,can i receive my salary in a currency other than what it is deposited in?,"['receive salary', 'currency other', 'deposited currency']",deposited currency
803,can i get my salary through this?,"['get salary', 'get salary']",get salary
804,how can someone send me money?,"['send money', 'send money']",send money
805,is there a problem with receiving my salary in gbp?,"['receiving salary', 'receiving salary']",receiving salary
806,do i need to choose gbp to get my salary deposited properly?,"['choose ', 'deposited salary']",deposited salary
807,i get paid in gbp should i configure this and if so where?,"['configure ', 'configure ']",Unknown
808,is it possible for me to get money out in a different currency?,"['get money', 'different currency', 'get currency']",Unknown
809,can i use this to receive my salary?,"['receive salary', 'receive salary']",receive salary
810,my salary is received in the form of gbp do i need to do anything specific to configure this?,"['configure ', 'anything specific', 'configure gbp']",configure gbp
811,how do people send me money?,"['send money', 'send money']",Unknown
812,is gbp a supported currency?,"['supported currency', 'supported currency']",Unknown
813,do i need to establish i am paid in gbp before a transfer?,['paid transfer'],paid transfer
814,salary in gbp has been received does it need to be configured elsewhere?,['configured salary'],configured salary
815,how do i get my salary in the account?,"['get salary', 'get account']",get salary
816,what are the ways for others to transfer me money?,"['transfer money', 'transfer money']",Unknown
817,what different ways are there for someone to send me money?,"['send money', 'different ways', 'send money']",Unknown
818,what do i need to do to transfer my paycheck to my account?,"['transfer paycheck', 'transfer account']",transfer paycheck
819,how can my friend send me money?,"['send money', 'send money']",send money
820,can i directly transfer my salary onto here?,"['transfer salary', 'transfer salary']",Unknown
821,can this be used to receive my salary?,"['receive salary', 'receive salary']",receive salary
822,is it possible to deposit money in gbp?,"['deposit money', 'deposit money']",Unknown
823,i received my salary in gbp how do i change this to my currency?,"['change salary', 'change currency']",change currency
824,how can my friend transfer money to me?,"['transfer money', 'transfer money']",transfer money
825,can my friends send me money?,"['send money', 'send money']",send money
826,how do i deposit my paycheck to this account?,"['deposit paycheck', 'deposit account']",deposit paycheck
